contig_id,proteins
Lactobacillus phage LL-H,51
Lactobacillus phage Lc-Nu,51
Lactobacillus phage Ld17,50
Lactobacillus phage Ld25A,51
Lactobacillus phage Ld3,49
Lactobacillus phage Ldl1,79
Lactobacillus phage LfeInf,126
Lactobacillus phage LfeSau,50
Lactobacillus phage Lrm1,54
Lactobacillus phage Lv-1,47
Lactobacillus phage PL-1,59
Lactobacillus phage PLE2,51
Lactobacillus phage PLE3,60
Lactobacillus phage Sha1,58
Lactobacillus phage iA2,50
Lactobacillus phage iLp1308,50
Lactobacillus phage iLp84,60
Lactobacillus phage phi jlb1,54
Lactobacillus phage phiAQ113,56
Lactobacillus phage phiAT3,55
Lactobacillus phage phiJB,46
Lactobacillus phage phiLdb,59
Lactobacillus phage phiPYB5,46
Lactobacillus phage phiadh,63
Lactobacillus phage phig1e,60
Lactobacillus prophage Lj771,56
Lactobacillus prophage Lj928,50
Lactobacillus prophage Lj965,46
Lactobacillus virus ATCC8014,60
Lactobacillus virus LLKu,51
Lactobacillus virus LP65,165
Lactobacillus virus Lb338-1,199
Lactobacillus virus c5,50
Lactobacillus virus phiJL1,46
Lactoccocus phage WP-2,24
Lactococcus phage 1358,43
Lactococcus phage 1706,76
Lactococcus phage 28201,51
Lactococcus phage 340,58
Lactococcus phage 50101,51
Lactococcus phage 63301,48
Lactococcus phage 949,154
Lactococcus phage 98201,52
Lactococcus phage BK5-T,63
Lactococcus phage BM13,55
Lactococcus phage D4410,40
Lactococcus phage D4412,40
Lactococcus phage GE1,48
Lactococcus phage M5938,38
Lactococcus phage M6162,38
Lactococcus phage M6165,37
Lactococcus phage P078,78
Lactococcus phage P087,88
Lactococcus phage P092,76
Lactococcus phage P118,80
Lactococcus phage P162,82
Lactococcus phage P335 sensu lato,49
Lactococcus phage P680,49
Lactococcus phage PLgT-1,66
Lactococcus phage Q54,47
Lactococcus phage TP901-1,56
Lactococcus phage Tuc2009,56
Lactococcus phage WRP3,178
Lactococcus phage asccphi28,28
Lactococcus phage bIL285,62
Lactococcus phage bIL286,61
Lactococcus phage bIL309,56
Lactococcus phage bIL310,29
Lactococcus phage bIL311,22
Lactococcus phage bIL312,27
Lactococcus phage jm2,59
Lactococcus phage jm3,52
Lactococcus phage phi7,57
Lactococcus phage phiL47,189
Lactococcus phage phiLC3,51
Lactococcus phage r1t,50
Lactococcus phage ul36,61
Lactococcus virus 712,55
Lactococcus virus ASCC191,59
Lactococcus virus Bibb29,54
Lactococcus virus CB13,55
Lactococcus virus CB14,52
Lactococcus virus KSY1,130
Lactococcus virus P008,58
Lactococcus virus Sl4,52
Lactococcus virus bIL170,64
Lactococcus virus bIL67,37
Lactococcus virus c2,39
Lactococcus virus jj50,49
Lactococcus virus sk1,56
Lelliottia phage phD2B,49
Leuconostoc phage 1-A4,50
Leuconostoc phage Lmd1,40
Leuconostoc phage Ln-8,45
Leuconostoc phage Ln-9,48
Leuconostoc phage P793,38
Leuconostoc phage phiLN03,39
Leuconostoc phage phiLN04,39
Leuconostoc phage phiLN12,41
Leuconostoc phage phiLN25,41
Leuconostoc phage phiLN34,41
Leuconostoc phage phiLN6B,39
Leuconostoc phage phiLNTR2,42
Leuconostoc phage phiLNTR3,41
Liberibacter phage SC1,40
Liberibacter phage SC2,47
Listeria phage 2389,59
Listeria phage A006,64
Listeria phage A118,72
Listeria phage A500,63
Listeria phage B025,66
Listeria phage B054,80
Listeria phage LMSP-25,187
Listeria phage LMTA-148,177
Listeria phage LP-026,114
Listeria phage LP-030-2,69
Listeria phage LP-030-3,73
Listeria phage LP-037,114
Listeria phage LP-048,177
Listeria phage LP-083-2,189
Listeria phage LP-101,70
Listeria phage LP-110,113
Listeria phage LP-114,116
Listeria phage LP-125,189
Listeria phage List-36,174
Listeria phage P35,56
Listeria phage P40,62
Listeria phage P70,119
Listeria phage WIL-1,38
Listeria phage vB_LmoM_AG20,178
Listeria phage vB_LmoS_188,60
Listeria phage vB_LmoS_293,72
Listeria virus A511,192
Listonella phage phiHSIC,47
Loktanella phage pCB2051-A,76
Mannheimia phage phiMHaA1,49
Mannheimia phage vB_MhM_3927AP2,50
Mannheimia phage vB_MhM_587AP1,51
Mannheimia phage vB_MhS_1152AP2,79
Mannheimia phage vB_MhS_535AP2,79
Mannheimia phage vB_MhS_587AP2,77
Marine gokushovirus,6
Marinomonas phage P12026,54
Mesorhizobium phage vB_MloP_Lo5R7ANS,64
Metallosphaera turreted icosahedral virus,21
Methanobacterium phage psiM2,32
Methanothermobacter phage psiM100,36
Microbacterium phage Min1,77
Microbacterium phage vB_MoxS-ISF9,120
Microcystis aeruginosa phage Ma-LMM01,184
Microcystis phage MaMV-DC,170
Microviridae Bog1249_12,6
Microviridae Bog5275_51,5
Microviridae Bog9017_22,4
Microviridae Fen2266_11,5
Microviridae Fen418_41,5
Microviridae Fen4707_41,6
Microviridae Fen685_11,5
Microviridae Fen7786_21,5
Microviridae Fen7895_21,5
Microviridae Fen7918_21,5
Microviridae Fen7940_21,5
Microviridae IME-16,7
Microviridae phi-CA82,10
Morganella phage MmP1,49
Morganella phage vB_MmoM_MP1,271
Morganella phage vB_MmoP_MP2,55
Mycobacterium phage 20ES,96
Mycobacterium phage 32HC,86
Mycobacterium phage 39HC,100
Mycobacterium phage 40AC,90
Mycobacterium phage Abrogate,91
Mycobacterium phage Adawi,98
Mycobacterium phage Adler,125
Mycobacterium phage Adzzy,96
Mycobacterium phage Aeneas,99
Mycobacterium phage Akoma,104
Mycobacterium phage Alice,222
Mycobacterium phage Alsfro,98
Mycobacterium phage Alvin,86
Mycobacterium phage Angel,61
Mycobacterium phage AnnaL29,96
Mycobacterium phage Anubis,95
Mycobacterium phage Apizium,100
Mycobacterium phage ArcherNM,91
Mycobacterium phage ArcherS7,237
Mycobacterium phage Archie,128
Mycobacterium phage Ariel,245
Mycobacterium phage Artemis2UCLA,102
Mycobacterium phage Astraea,232
Mycobacterium phage BTCU-1,73
Mycobacterium phage Bactobuster,87
Mycobacterium phage Badfish,102
Mycobacterium phage Baee,96
Mycobacterium phage Bane1,94
Mycobacterium phage Barnyard,109
Mycobacterium phage BarrelRoll,95
Mycobacterium phage Barriga,101
Mycobacterium phage BellusTerra,89
Mycobacterium phage Bernal13,60
Mycobacterium phage Bernardo,100
Mycobacterium phage BigNuz,82
Mycobacterium phage Bipolar,106
Mycobacterium phage Bipper,135
Mycobacterium phage Blue7,103
Mycobacterium phage Bobi,107
Mycobacterium phage Breeniome,236
Mycobacterium phage Brocalys,96
Mycobacterium phage BrownCNA,97
Mycobacterium phage Bruin,141
Mycobacterium phage Brusacoram,78
Mycobacterium phage Butters,66
Mycobacterium phage BuzzLyseyear,110
Mycobacterium phage Bxz1,225
Mycobacterium phage CASbig,97
Mycobacterium phage CRB1,94
Mycobacterium phage Cabrinians,101
Mycobacterium phage Cali,222
Mycobacterium phage Cambiare,67
Mycobacterium phage CaptainTrips,107
Mycobacterium phage Carcharodon,71
Mycobacterium phage Catalina,101
Mycobacterium phage Catdawg,128
Mycobacterium phage Catera,218
Mycobacterium phage Cerasum,102
Mycobacterium phage Chadwick,88
Mycobacterium phage Charlie,68
Mycobacterium phage Cheetobro,92
Mycobacterium phage Chy4,73
Mycobacterium phage Chy5,88
Mycobacterium phage CloudWang3,103
Mycobacterium phage Colbert,100
Mycobacterium phage Conspiracy,86
Mycobacterium phage Contagion,140
Mycobacterium phage Cooper,99
Mycobacterium phage Crossroads,133
Mycobacterium phage DD5,87
Mycobacterium phage DS6A,97
Mycobacterium phage Daenerys,102
Mycobacterium phage Damien,93
Mycobacterium phage Dandelion,239
Mycobacterium phage Dante,105
Mycobacterium phage Donovan,78
Mycobacterium phage Dori,94
Mycobacterium phage DrDrey,144
Mycobacterium phage Dreamboat,94
Mycobacterium phage Dumbo,147
Mycobacterium phage Dusk,142
Mycobacterium phage Dylan,121
Mycobacterium phage ET08,218
Mycobacterium phage EagleEye,95
Mycobacterium phage Echild,100
Mycobacterium phage Edtherson,91
Mycobacterium phage Enkosi,79
Mycobacterium phage Equemioh13,96
Mycobacterium phage Eremos,99
Mycobacterium phage Estave1,112
Mycobacterium phage EvilGenius,93
Mycobacterium phage First,95
Mycobacterium phage Fishburne,77
Mycobacterium phage FlagStaff,65
Mycobacterium phage Florinda,117
Mycobacterium phage Fredward,103
Mycobacterium phage Gadjet,102
Mycobacterium phage Gaia,179
Mycobacterium phage Gardann,126
Mycobacterium phage Gengar,95
Mycobacterium phage Giles,77
Mycobacterium phage Gizmo,241
Mycobacterium phage Goku,143
Mycobacterium phage Gompeii16,91
Mycobacterium phage Graduation,97
Mycobacterium phage Gumball,88
Mycobacterium phage HINdeR,84
Mycobacterium phage Hades,102
Mycobacterium phage Hamulus,105
Mycobacterium phage HanShotFirst,91
Mycobacterium phage Hawkeye,104
Mycobacterium phage Hosp,97
Mycobacterium phage HufflyPuff,146
Mycobacterium phage HyRo,224
Mycobacterium phage Inventum,102
Mycobacterium phage Iracema64,88
Mycobacterium phage JAMaL,98
Mycobacterium phage Jabbawokkie,106
Mycobacterium phage JacAttac,102
Mycobacterium phage Job42,106
Mycobacterium phage Jobu08,85
Mycobacterium phage Jolie1,98
Mycobacterium phage Jolie2,62
Mycobacterium phage Jovo,84
Mycobacterium phage Kampy,88
Mycobacterium phage KayaCho,95
Mycobacterium phage Keshu,101
Mycobacterium phage Kikipoo,104
Mycobacterium phage Kimberlium,105
Mycobacterium phage Konstantine,95
Mycobacterium phage Kratio,99
Mycobacterium phage LadyBird,96
Mycobacterium phage Lamina13,96
Mycobacterium phage Larenn,92
Mycobacterium phage Leo,59
Mycobacterium phage Lilac,140
Mycobacterium phage LinStu,227
Mycobacterium phage LittleCherry,87
Mycobacterium phage Llama,111
Mycobacterium phage Lolly9,130
Mycobacterium phage Loser,97
Mycobacterium phage Luchador,96
Mycobacterium phage MOOREtheMARYer,67
Mycobacterium phage Makemake,93
Mycobacterium phage Malithi,79
Mycobacterium phage Manad,101
Mycobacterium phage MarQuardt,90
Mycobacterium phage MiaZeal,250
Mycobacterium phage MichelleMyBell,70
Mycobacterium phage Milly,94
Mycobacterium phage Mindy,147
Mycobacterium phage Minerva,238
Mycobacterium phage MoMoMixon,230
Mycobacterium phage MosMoris,111
Mycobacterium phage Muddy,71
Mycobacterium phage Mufasa,94
Mycobacterium phage Mulciber,98
Mycobacterium phage Murphy,146
Mycobacterium phage Murucutumbu,95
Mycobacterium phage Myrna,229
Mycobacterium phage Nala,147
Mycobacterium phage Nappy,234
Mycobacterium phage NelitzaMV,139
Mycobacterium phage Nerujay,97
Mycobacterium phage Newman,97
Mycobacterium phage Nhonho,88
Mycobacterium phage Nigel,94
Mycobacterium phage Nyxis,87
Mycobacterium phage OSmaximus,102
Mycobacterium phage Oaker,92
Mycobacterium phage Obama12,89
Mycobacterium phage OkiRoe,96
Mycobacterium phage Oline,101
Mycobacterium phage Omnicron,95
Mycobacterium phage Orion,100
Mycobacterium phage Ovechkin,106
Mycobacterium phage PBI1,81
Mycobacterium phage PLot,89
Mycobacterium phage Panchino,66
Mycobacterium phage Papez,94
Mycobacterium phage Papyrus,100
Mycobacterium phage Pari,91
Mycobacterium phage Patience,109
Mycobacterium phage PattyP,92
Mycobacterium phage PegLeg,138
Mycobacterium phage Pepe,86
Mycobacterium phage Phaedrus,98
Mycobacterium phage Phantastic,91
Mycobacterium phage PhatBacter,148
Mycobacterium phage Phatniss,101
Mycobacterium phage Phaux,145
Mycobacterium phage Phayonce,77
Mycobacterium phage Phelemich,95
Mycobacterium phage Phipps,99
Mycobacterium phage Phlei,81
Mycobacterium phage Phlyer,105
Mycobacterium phage Phrann,67
Mycobacterium phage PhrostyMug,97
Mycobacterium phage Phrux,141
Mycobacterium phage Pinto,87
Mycobacterium phage Pioneer,99
Mycobacterium phage Pipefish,102
Mycobacterium phage Piro94,94
Mycobacterium phage Pleione,238
Mycobacterium phage PopTart,95
Mycobacterium phage Pops,99
Mycobacterium phage Predator,92
Mycobacterium phage Quico,112
Mycobacterium phage Quink,151
Mycobacterium phage Qyrzula,81
Mycobacterium phage RedRock,95
Mycobacterium phage Redi,69
Mycobacterium phage Redno2,231
Mycobacterium phage RhynO,73
Mycobacterium phage RidgeCB,94
Mycobacterium phage Rizal,220
Mycobacterium phage Rosebush,90
Mycobacterium phage Rufus,93
Mycobacterium phage SWU1,94
Mycobacterium phage Saal,101
Mycobacterium phage Sarfire,99
Mycobacterium phage Sbash,89
Mycobacterium phage ScottMcG,221
Mycobacterium phage Seabiscuit,94
Mycobacterium phage Seagreen,105
Mycobacterium phage Serenity,97
Mycobacterium phage Severus,80
Mycobacterium phage ShedlockHolmes,100
Mycobacterium phage Sheen,84
Mycobacterium phage ShiVal,101
Mycobacterium phage Shipwreck,81
Mycobacterium phage SiSi,99
Mycobacterium phage SkiPole,102
Mycobacterium phage Smeadley,100
Mycobacterium phage Sneeze,64
Mycobacterium phage Snenia,130
Mycobacterium phage Solon,86
Mycobacterium phage Soto,98
Mycobacterium phage Sparkdehlily,111
Mycobacterium phage Sparky,91
Mycobacterium phage Spud,222
Mycobacterium phage Squirty,102
Mycobacterium phage Stinger,95
Mycobacterium phage Suffolk,97
Mycobacterium phage SweetiePie,95
Mycobacterium phage Swirley,87
Mycobacterium phage Swish,103
Mycobacterium phage TM4,89
Mycobacterium phage Taj,110
Mycobacterium phage Tasp14,89
Mycobacterium phage Theia,87
Mycobacterium phage TheloniousMonk,90
Mycobacterium phage Thibault,216
Mycobacterium phage Tiffany,89
Mycobacterium phage Tonenili,258
Mycobacterium phage Toto,140
Mycobacterium phage Trike,65
Mycobacterium phage Trixie,92
Mycobacterium phage Troll4,84
Mycobacterium phage Trouble,94
Mycobacterium phage Turbido,94
Mycobacterium phage Turj99,86
Mycobacterium phage Tweety,109
Mycobacterium phage U2,81
Mycobacterium phage UncleHowie,98
Mycobacterium phage UnionJack,86
Mycobacterium phage Validus,105
Mycobacterium phage Velveteen,100
Mycobacterium phage Vincenzo,98
Mycobacterium phage Violet,90
Mycobacterium phage Vista,101
Mycobacterium phage VohminGhazi,100
Mycobacterium phage Vortex,99
Mycobacterium phage WIVsmall,83
Mycobacterium phage Wanda,240
Mycobacterium phage Wee,108
Mycobacterium phage Wheeler,96
Mycobacterium phage Whirlwind,128
Mycobacterium phage Wildcat,148
Mycobacterium phage Wile,85
Mycobacterium phage XFactor,95
Mycobacterium phage Xeno,69
Mycobacterium phage Zaka,101
Mycobacterium phage ZoeJ,92
Mycobacterium phage vB_MapS_FF47,73
Mycobacterium virus 244,142
Mycobacterium virus Acadian,97
Mycobacterium virus Alma,96
Mycobacterium virus Angelica,94
Mycobacterium virus Ardmore,87
Mycobacterium virus Avani,107
Mycobacterium virus Babsiella,78
Mycobacterium virus Bethlehem,87
Mycobacterium virus Billknuckles,86
Mycobacterium virus Boomer,105
Mycobacterium virus Bron,123
Mycobacterium virus Brujita,74
Mycobacterium virus Bruns,96
Mycobacterium virus Bxb1,86
Mycobacterium virus Bxz2,86
Mycobacterium virus CJW1,141
Mycobacterium virus Che12,98
Mycobacterium virus Che8,112
Mycobacterium virus Che9c,84
Mycobacterium virus Che9d,111
Mycobacterium virus Corndog,122
Mycobacterium virus Courthouse,241
Mycobacterium virus Crimd,95
Mycobacterium virus D29,79
Mycobacterium virus Deadp,106
Mycobacterium virus Doom,85
Mycobacterium virus Drago,103
Mycobacterium virus Euphoria,94
Mycobacterium virus Faith1,129
Mycobacterium virus Fionnbarth,94
Mycobacterium virus Firecracker,128
Mycobacterium virus Fruitloop,102
Mycobacterium virus Gumbie,104
Mycobacterium virus Halo,64
Mycobacterium virus Jasper,94
Mycobacterium virus KBG,89
Mycobacterium virus Kostya,143
Mycobacterium virus Kugel,95
Mycobacterium virus L5,90
Mycobacterium virus Larva,97
Mycobacterium virus Liefie,61
Mycobacterium virus Llij,100
Mycobacterium virus Lockley,90
Mycobacterium virus Omega,237
Mycobacterium virus PMC,104
Mycobacterium virus Pacc40,101
Mycobacterium virus Peaches,86
Mycobacterium virus Perseus,92
Mycobacterium virus Porky,147
Mycobacterium virus Pukovnik,88
Mycobacterium virus Ramsey,108
Mycobacterium virus Rumpelstiltskin,110
Mycobacterium virus SG4,105
Mycoplasma phage MAV1,15
Mycoplasma phage phiMFV1,2
Mycoplasma virus P1,11
Myxococcus phage Mx8,86
Natrialba phage PhiCh1,98
Nitrincola phage 1M3-16,144
Nocardia phage NBR1,68
Nonlabens phage P12024L,58
Nonlabens phage P12024S,59
Oenococcus phage phi9805,55
Oenococcus phage phiS11,59
Oenococcus phage phiS13,54
Paenibacillus phage Diva,60
Paenibacillus phage Fern,68
Paenibacillus phage HB10c2,56
Paenibacillus phage Harrison,84
Paenibacillus phage PG1,67
Paenibacillus phage Rani,61
Paenibacillus phage Sitara,74
Paenibacillus phage Tripp,92
Paenibacillus phage Vegas,86
Paenibacillus phage Xenia,77
Paenibacillus phage phiIBB_Pl23,68
Pantoea phage LIMElight,55
Pantoea phage LIMEzero,57
Parabacteroides phage YZ-2015a,6
Parabacteroides phage YZ-2015b,4
Paracoccus phage vB_PmaS_IMEP1,52
Pasteurella phage F108,44
Pectobacterium bacteriophage PM2,291
Pectobacterium phage My1,149
Pectobacterium phage PM1,63
Pectobacterium phage PP1,48
Pectobacterium phage PP16,56
Pectobacterium phage PP90,56
Pectobacterium phage Peat1,61
Pectobacterium phage ZF40,68
Pectobacterium phage phiTE,242
Pediococcus virus cIP1,57
Pelagibacter phage HTVC008M,198
Pelagibacter phage HTVC010P,64
Pelagibacter phage HTVC011P,45
Pelagibacter phage HTVC019P,59
Phage Gifsy-1,58
Phage Gifsy-2,55
Phage MP22,51
Phage phiJL001,90
Phormidium phage MIS-PhV1A,62
Phormidium phage MIS-PhV1B,57
Phormidium phage Pf-WMP3,41
Phormidium phage Pf-WMP4,45
Planktothrix phage PaV-LD,142
Podovirus Lau218,48
Polaribacter phage P12002L,82
Polaribacter phage P12002S,86
Prochlorococcus phage MED4-184,59
Prochlorococcus phage MED4-213,216
Prochlorococcus phage P-GSP1,49
Prochlorococcus phage P-HM1,241
Prochlorococcus phage P-HM2,242
Prochlorococcus phage P-RSM4,239
Prochlorococcus phage P-SSM2,334
Prochlorococcus phage P-SSM3,214
Prochlorococcus phage P-SSM4,221
Prochlorococcus phage P-SSM7,237
Prochlorococcus phage P-SSP10,49
Prochlorococcus phage P-SSP3,53
Prochlorococcus phage P-SSP7,58
Prochlorococcus phage P-TIM68,246
Prochlorococcus phage Syn1,234
Prochlorococcus phage Syn33,227
Propionibacterium phage ATCC29399B_C,46
Propionibacterium phage ATCC29399B_T,46
Propionibacterium phage Attacne,45
Propionibacterium phage B5,10
Propionibacterium phage BruceLethal,44
Propionibacterium phage Enoki,45
Propionibacterium phage Kubed,44
Propionibacterium phage Lauchelly,45
Propionibacterium phage Moyashi,44
Propionibacterium phage MrAK,46
Propionibacterium phage Ouroboros,45
Propionibacterium phage P1.1,45
Propionibacterium phage P100D,47
Propionibacterium phage P100_1,47
Propionibacterium phage P100_A,45
Propionibacterium phage P101A,47
Propionibacterium phage P104A,45
Propionibacterium phage P105,45
Propionibacterium phage P14.4,47
Propionibacterium phage P9.1,45
Propionibacterium phage PA1-14,45
Propionibacterium phage PA6,48
Propionibacterium phage PAC1,42
Propionibacterium phage PAD20,45
Propionibacterium phage PAS50,46
Propionibacterium phage PFR1,56
Propionibacterium phage PFR2,58
Propionibacterium phage PHL009M11,45
Propionibacterium phage PHL010M04,45
Propionibacterium phage PHL025M00,43
Propionibacterium phage PHL030N00,45
Propionibacterium phage PHL041M10,45
Propionibacterium phage PHL055N00,45
Propionibacterium phage PHL060L00,46
Propionibacterium phage PHL067M10,45
Propionibacterium phage PHL070N00,44
Propionibacterium phage PHL071N05,45
Propionibacterium phage PHL082M00,47
Propionibacterium phage PHL085N00,44
Propionibacterium phage PHL092M00,45
Propionibacterium phage PHL095N00,45
Propionibacterium phage PHL111M01,45
Propionibacterium phage PHL112N00,46
Propionibacterium phage PHL113M01,44
Propionibacterium phage PHL114L00,46
Propionibacterium phage PHL116M00,46
Propionibacterium phage PHL132N00,42
Propionibacterium phage PHL141N00,45
Propionibacterium phage PHL150M00,45
Propionibacterium phage PHL152M00,45
Propionibacterium phage PHL171M01,45
Propionibacterium phage PHL179M00,45
Propionibacterium phage PHL199M00,45
Propionibacterium phage PHL301M00,45
Propionibacterium phage Pacnes 2012-15,45
Propionibacterium phage Pirate,44
Propionibacterium phage Procrass1,45
Propionibacterium phage QueenBey,43
Propionibacterium phage SKKY,47
Propionibacterium phage Solid,45
Propionibacterium phage Stormborn,46
Propionibacterium phage Wizzo,44
Proteus phage PM 75,25
Proteus phage PM 85,23
Proteus phage PM 93,47
Proteus phage PM16,46
Proteus phage pPM_01,70
Proteus phage vB_PmiM_Pm5461,256
Proteus phage vB_PmiP_Pm5460,53
Providencia phage Redjac,41
Pseudoalteromonas phage BS5,65
Pseudoalteromonas phage H101,228
Pseudoalteromonas phage H103,75
Pseudoalteromonas phage H105/1,52
Pseudoalteromonas phage PH1,54
Pseudoalteromonas phage PM2,22
Pseudoalteromonas phage Pq0,56
Pseudoalteromonas phage RIO-1,56
Pseudoalteromonas phage pYD6-A,99
Pseudomonad phage gh-1,42
Pseudomonas phage 119X,53
Pseudomonas phage 14-1,90
Pseudomonas phage 201phi2-1,461
Pseudomonas phage 73,52
Pseudomonas phage AF,65
Pseudomonas phage Andromeda,46
Pseudomonas phage B3,59
Pseudomonas phage Bf7,46
Pseudomonas phage C11,172
Pseudomonas phage CHA_P1,166
Pseudomonas phage DL54,71
Pseudomonas phage DL60,89
Pseudomonas phage DL62,55
Pseudomonas phage DL64,90
Pseudomonas phage DL68,92
Pseudomonas phage EL,201
Pseudomonas phage F10,63
Pseudomonas phage F8,91
Pseudomonas phage H70,58
Pseudomonas phage JBD18,52
Pseudomonas phage JBD24,58
Pseudomonas phage JBD25,55
Pseudomonas phage JBD30,56
Pseudomonas phage JBD44,80
Pseudomonas phage JBD5,59
Pseudomonas phage JBD69,57
Pseudomonas phage JBD88a,55
Pseudomonas phage JBD93,55
Pseudomonas phage JD024,58
Pseudomonas phage JG004,161
Pseudomonas phage JG024,93
Pseudomonas phage K5,178
Pseudomonas phage K8,178
Pseudomonas phage KPP10,158
Pseudomonas phage KPP12,88
Pseudomonas phage KPP21,113
Pseudomonas phage KPP25,88
Pseudomonas phage LBL3,88
Pseudomonas phage LIT1,90
Pseudomonas phage LKA1,57
Pseudomonas phage LKD16,53
Pseudomonas phage LMA2,94
Pseudomonas phage LUZ19,54
Pseudomonas phage LUZ24,68
Pseudomonas phage LUZ7,115
Pseudomonas phage Lu11,391
Pseudomonas phage M6,85
Pseudomonas phage MD8,64
Pseudomonas phage MP1412,77
Pseudomonas phage MP42,53
Pseudomonas phage MP48,50
Pseudomonas phage MPK6,50
Pseudomonas phage MPK7,53
Pseudomonas phage NH-4,94
Pseudomonas phage NP1,74
Pseudomonas phage O4,76
Pseudomonas phage OBP,309
Pseudomonas phage PA11,70
Pseudomonas phage PAE1,88
Pseudomonas phage PAJU2,79
Pseudomonas phage PAK_P1,181
Pseudomonas phage PAK_P2,176
Pseudomonas phage PAK_P3,165
Pseudomonas phage PAK_P4,172
Pseudomonas phage PAK_P5,164
Pseudomonas phage PB1,93
Pseudomonas phage PEV2,93
Pseudomonas phage PP7,4
Pseudomonas phage PPPL-1,49
Pseudomonas phage PPpW-3,66
Pseudomonas phage PPpW-4,50
Pseudomonas phage PRR1,4
Pseudomonas phage PS-1,79
Pseudomonas phage PT2,54
Pseudomonas phage Pa2,91
Pseudomonas phage PaBG,308
Pseudomonas phage PaMx11,81
Pseudomonas phage PaMx28,74
Pseudomonas phage PaMx42,56
Pseudomonas phage PaMx74,75
Pseudomonas phage PaP1,167
Pseudomonas phage PaP2,58
Pseudomonas phage PaP3,72
Pseudomonas phage PaoP5,173
Pseudomonas phage Pf-10,46
Pseudomonas phage Pf1,15
Pseudomonas phage Pf3,9
Pseudomonas phage Phi-S1,47
Pseudomonas phage PhiCHU,73
Pseudomonas phage PhiPA3,375
Pseudomonas phage SN,92
Pseudomonas phage TL,65
Pseudomonas phage UFV-P2,75
Pseudomonas phage VCM,172
Pseudomonas phage YH30,86
Pseudomonas phage YH6,90
Pseudomonas phage YMC11/02/R656,113
Pseudomonas phage YMC11/06/C171_PPU_BP,49
Pseudomonas phage YMC11/07/P54_PAE_BP,73
Pseudomonas phage YuA,77
Pseudomonas phage phi-2,43
Pseudomonas phage phi12,15
Pseudomonas phage phi13,13
Pseudomonas phage phi15,50
Pseudomonas phage phi2,52
Pseudomonas phage phi2954,14
Pseudomonas phage phi297,69
Pseudomonas phage phi3,36
Pseudomonas phage phi6,13
Pseudomonas phage phi8,19
Pseudomonas phage phiCTX,47
Pseudomonas phage phiIBB-PAA2,69
Pseudomonas phage phiIBB-PF7A,52
Pseudomonas phage phiKMV,49
Pseudomonas phage phiKZ,306
Pseudomonas phage phiMK,172
Pseudomonas phage phiPSA1,52
Pseudomonas phage phiPSA2,47
Pseudomonas phage phiPsa374,173
Pseudomonas phage phiPto-bp6g,68
Pseudomonas phage phikF77,53
Pseudomonas phage tf,72
Pseudomonas phage vB_Pae-Kakheti25,58
Pseudomonas phage vB_Pae-TbilisiM32,51
Pseudomonas phage vB_PaeM_C2-10_Ab1,158
Pseudomonas phage vB_PaeM_MAG1,174
Pseudomonas phage vB_PaeM_PAO1_Ab03,156
Pseudomonas phage vB_PaeM_PAO1_Ab27,93
Pseudomonas phage vB_PaeM_PS24,153
Pseudomonas phage vB_PaeP_C2-10_Ab09,83
Pseudomonas phage vB_PaeP_C2-10_Ab22,71
Pseudomonas phage vB_PaeP_MAG4,94
Pseudomonas phage vB_PaeP_PAO1_Ab05,54
Pseudomonas phage vB_PaeP_PPA-ABTNL,54
Pseudomonas phage vB_PaeP_Tr60_Ab31,69
Pseudomonas phage vB_PaeP_p2-10_Or1,58
Pseudomonas phage vB_PaeS_PAO1_Ab18,76
Pseudomonas phage vB_PaeS_PAO1_Ab30,59
Pseudomonas phage vB_PaeS_PM105,56
Pseudomonas phage vB_PaeS_SCH_Ab26,52
Pseudomonas phage vB_Pae_PS44,97
Pseudomonas phage vB_PsyM_KIL1,159
Pseudomonas virus D3,99
Pseudomonas virus D3112,55
Pseudomonas virus DMS3,52
Pseudomonas virus F116,70
Pseudomonas virus LPB1,54
Pseudomonas virus MP29,51
Pseudomonas virus MP38,51
Pseudomonas virus PA1KOR,51
Pseudomonas virus PMG1,96
Psychrobacter phage Psymv2,49
Psychrobacter phage pOW20-A,71
Puniceispirillum phage HMO-2011,74
Pyrobaculum filamentous virus 1,39
Pyrobaculum spherical virus,48
Pyrococcus abyssi virus 1,25
Ralstonia phage 1 NP-2014,16
Ralstonia phage PE226,9
Ralstonia phage RS138,56
Ralstonia phage RS603,13
Ralstonia phage RSA1,51
Ralstonia phage RSB1,47
Ralstonia phage RSB2,52
Ralstonia phage RSB3,50
Ralstonia phage RSF1,230
Ralstonia phage RSJ2,43
Ralstonia phage RSJ5,41
Ralstonia phage RSK1,54
Ralstonia phage RSL2,224
Ralstonia phage RSM1,15
Ralstonia phage RSM3,14
Ralstonia phage RSP15,244
Ralstonia phage RSS0,12
Ralstonia phage RSS1,12
Ralstonia phage RSS20,9
Ralstonia phage RSS30,3
Ralstonia phage RSY1,49
Ralstonia phage p12J,9
Ralstonia phage phiRSL1,343
Rhizobium phage 16-3,110
Rhizobium phage RHEph06,82
Rhizobium phage RHEph10,171
Rhizobium phage RR1-A,68
Rhizobium phage RR1-B,52
Rhizobium phage vB_RglS_P106B,95
Rhizobium phage vB_RleM_P10VF,257
Rhizobium phage vB_RleM_PPF1,94
