,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
839,Microviridae~Fen7895_21,Unassigned,Microviridae,Unassigned,372_0,Clustered,9,VC_372_0,9,0.9514,0.99978029,0.9512,1,1,1,1.0
840,Microviridae~Fen7918_21,Unassigned,Microviridae,Unassigned,372_0,Clustered,9,VC_372_0,9,0.9514,0.99978029,0.9512,1,1,1,1.0
841,Morganella~phage~MmP1,Caudovirales,Podoviridae,Unassigned,30_0,Clustered,58,VC_30_0,58,0.9437,1.0,0.9437,3,2,2,1.0
842,Morganella~phage~vB_MmoP_MP2,Unassigned,Unassigned,Unassigned,30_0,Clustered,58,VC_30_0,58,0.9437,1.0,0.9437,3,2,2,1.0
843,Mycobacterium~phage~20ES,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
844,Mycobacterium~phage~39HC,Caudovirales,Siphoviridae,Unassigned,60_1,Clustered,4,VC_60_1,4,0.0983,0.99998359,0.0983,1,1,1,1.0
845,Mycobacterium~phage~40AC,Caudovirales,Siphoviridae,Unassigned,18_1,Clustered,7,VC_18_1,7,0.1163,1.0,0.1163,1,1,1,1.0
846,Mycobacterium~phage~Abrogate,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
847,Mycobacterium~phage~Adawi,Caudovirales,Siphoviridae,Coopervirus,60_2,Clustered,11,VC_60_2,11,0.2424,1.0,0.2424,3,1,1,1.0
848,Mycobacterium~phage~Adzzy,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
849,Mycobacterium~phage~Aeneas,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
850,Mycobacterium~phage~Akoma,Caudovirales,Siphoviridae,Unassigned,37_0,Clustered,6,VC_37_0,6,0.2148,1.0,0.2148,2,1,1,1.0
851,Mycobacterium~phage~Alice,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
852,Mycobacterium~phage~Alsfro,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
853,Mycobacterium~phage~Alvin,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
854,Mycobacterium~phage~Angel,Caudovirales,Siphoviridae,Unassigned,49_0,Clustered,9,VC_49_0,9,0.5315,1.0,0.5315,2,2,2,1.0
855,Mycobacterium~phage~AnnaL29,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
856,Mycobacterium~phage~Anubis,Caudovirales,Siphoviridae,Unassigned,1_1,Clustered,7,VC_1_1,7,0.1683,1.0,0.1683,2,1,1,1.0
857,Mycobacterium~phage~Apizium,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
858,Mycobacterium~phage~ArcherNM,Unassigned,Unassigned,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
859,Mycobacterium~phage~ArcherS7,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
860,Mycobacterium~phage~Archie,Caudovirales,Siphoviridae,Unassigned,73_0,Clustered,9,VC_73_0,9,0.6713,1.0,0.6713,2,2,2,1.0
861,Mycobacterium~phage~Ariel,Caudovirales,Siphoviridae,Unassigned,0_0,Clustered,3,VC_0_0,3,0.1104,0.9978256,0.1102,2,1,1,1.0
862,Mycobacterium~phage~Artemis2UCLA,Caudovirales,Siphoviridae,Unassigned,18_1,Clustered,7,VC_18_1,7,0.1163,1.0,0.1163,1,1,1,1.0
863,Mycobacterium~phage~Astraea,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
864,Mycobacterium~phage~BTCU-1,Caudovirales,Siphoviridae,Unassigned,1_1,Clustered,7,VC_1_1,7,0.1683,1.0,0.1683,2,1,1,1.0
865,Mycobacterium~phage~Bactobuster,Unassigned,Unassigned,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
866,Mycobacterium~phage~Badfish,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
867,Mycobacterium~phage~Baee,Caudovirales,Siphoviridae,Acadianvirus,60_2,Clustered,11,VC_60_2,11,0.2424,1.0,0.2424,3,1,1,1.0
868,Mycobacterium~phage~Bane1,Caudovirales,Siphoviridae,Coopervirus,60_2,Clustered,11,VC_60_2,11,0.2424,1.0,0.2424,3,1,1,1.0
869,Mycobacterium~phage~BarrelRoll,Caudovirales,Siphoviridae,Unassigned,63_2,Clustered,12,VC_63_2,12,0.5044,1.0,0.5044,2,1,1,0.803
870,Mycobacterium~phage~Barriga,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
871,Mycobacterium~phage~BellusTerra,Caudovirales,Siphoviridae,Unassigned,1_2,Clustered,12,VC_1_2,12,0.2517,1.0,0.2517,2,1,1,1.0
872,Mycobacterium~phage~Bernardo,Caudovirales,Siphoviridae,Pipefishvirus,37_0,Clustered,6,VC_37_0,6,0.2148,1.0,0.2148,2,1,1,1.0
873,Mycobacterium~phage~BigNuz,Caudovirales,Siphoviridae,Bignuzvirus,22_0,Clustered,7,VC_22_0,7,0.5058,1.0,0.5058,4,2,2,1.0
874,Mycobacterium~phage~Bipolar,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
875,Mycobacterium~phage~Blue7,Caudovirales,Siphoviridae,Unassigned,18_1,Clustered,7,VC_18_1,7,0.1163,1.0,0.1163,1,1,1,1.0
876,Mycobacterium~phage~Breeniome,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
877,Mycobacterium~phage~Brocalys,Unassigned,Unassigned,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
878,Mycobacterium~phage~BrownCNA,Caudovirales,Siphoviridae,Coopervirus,60_2,Clustered,11,VC_60_2,11,0.2424,1.0,0.2424,3,1,1,1.0
879,Mycobacterium~phage~Bruin,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
880,Mycobacterium~phage~Brusacoram,Caudovirales,Siphoviridae,Fishburnevirus,22_0,Clustered,7,VC_22_0,7,0.5058,1.0,0.5058,4,2,2,1.0
881,Mycobacterium~phage~Butters,Caudovirales,Siphoviridae,Buttersvirus,32_0,Clustered,8,VC_32_0,8,0.3805,1.0,0.3805,4,1,1,1.0
882,Mycobacterium~phage~BuzzLyseyear,Caudovirales,Siphoviridae,Unassigned,16_0,Clustered,5,VC_16_0,5,0.0589,0.99998427,0.0589,2,1,1,0.7
883,Mycobacterium~phage~Bxz1,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
884,Mycobacterium~phage~CASbig,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
885,Mycobacterium~phage~CRB1,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
886,Mycobacterium~phage~Cabrinians,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
887,Mycobacterium~phage~Cali,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
888,Mycobacterium~phage~Cambiare,Caudovirales,Siphoviridae,Unassigned,49_0,Clustered,9,VC_49_0,9,0.5315,1.0,0.5315,2,2,2,1.0
889,Mycobacterium~phage~CaptainTrips,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
890,Mycobacterium~phage~Carcharodon,Caudovirales,Siphoviridae,Unassigned,32_0,Clustered,8,VC_32_0,8,0.3805,1.0,0.3805,4,1,1,1.0
891,Mycobacterium~phage~Catalina,Unassigned,Unassigned,Unassigned,18_0,Clustered,3,VC_18_0,3,0.0486,0.99851017,0.0485,2,2,2,1.0
892,Mycobacterium~phage~Catdawg,Caudovirales,Siphoviridae,Unassigned,27_0,Clustered,4,VC_27_0,4,0.519,0.99998571,0.519,2,1,1,1.0
893,Mycobacterium~phage~Catera,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
894,Mycobacterium~phage~Cerasum,Caudovirales,Siphoviridae,Unassigned,16_0,Clustered,5,VC_16_0,5,0.0589,0.99998427,0.0589,2,1,1,0.7
895,Mycobacterium~phage~Chadwick,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,9,VC_1_0,9,0.25,1.0,0.25,1,1,1,0.75
896,Mycobacterium~phage~Charlie,Caudovirales,Siphoviridae,Charlievirus,32_0,Clustered,8,VC_32_0,8,0.3805,1.0,0.3805,4,1,1,1.0
897,Mycobacterium~phage~Cheetobro,Caudovirales,Siphoviridae,Unassigned,63_0,Clustered,2,VC_63_0,2,0.0765,0.95497323,0.073,2,1,1,1.0
898,Mycobacterium~phage~Chy4,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
899,Mycobacterium~phage~Chy5,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
900,Mycobacterium~phage~CloudWang3,Caudovirales,Siphoviridae,Unassigned,18_1,Clustered,7,VC_18_1,7,0.1163,1.0,0.1163,1,1,1,1.0
901,Mycobacterium~phage~Colbert,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
902,Mycobacterium~phage~Conspiracy,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,9,VC_1_0,9,0.25,1.0,0.25,1,1,1,0.75
903,Mycobacterium~phage~Contagion,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
904,Mycobacterium~phage~Cooper,Caudovirales,Siphoviridae,Coopervirus,60_2,Clustered,11,VC_60_2,11,0.2424,1.0,0.2424,3,1,1,1.0
905,Mycobacterium~phage~Crossroads,Caudovirales,Siphoviridae,Unassigned,73_0,Clustered,9,VC_73_0,9,0.6713,1.0,0.6713,2,2,2,1.0
906,Mycobacterium~phage~DD5,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
907,Mycobacterium~phage~Daenerys,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
908,Mycobacterium~phage~Damien,Caudovirales,Siphoviridae,Unassigned,205_0,Clustered,4,VC_205_0,4,0.4596,0.99997218,0.4596,2,1,1,1.0
909,Mycobacterium~phage~Dandelion,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
910,Mycobacterium~phage~Dante,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
911,Mycobacterium~phage~Donovan,Caudovirales,Siphoviridae,Fishburnevirus,22_0,Clustered,7,VC_22_0,7,0.5058,1.0,0.5058,4,2,2,1.0
912,Mycobacterium~phage~DrDrey,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
913,Mycobacterium~phage~Dreamboat,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
914,Mycobacterium~phage~Dumbo,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
915,Mycobacterium~phage~Dusk,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
916,Mycobacterium~phage~Dylan,Caudovirales,Siphoviridae,Unassigned,27_0,Clustered,4,VC_27_0,4,0.519,0.99998571,0.519,2,1,1,1.0
917,Mycobacterium~phage~ET08,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
918,Mycobacterium~phage~EagleEye,Caudovirales,Siphoviridae,Unassigned,18_1,Clustered,7,VC_18_1,7,0.1163,1.0,0.1163,1,1,1,1.0
919,Mycobacterium~phage~Echild,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
920,Mycobacterium~phage~Edtherson,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
921,Mycobacterium~phage~Enkosi,Caudovirales,Siphoviridae,Unassigned,63_2,Clustered,12,VC_63_2,12,0.5044,1.0,0.5044,2,1,1,0.803
922,Mycobacterium~phage~Equemioh13,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
923,Mycobacterium~phage~Eremos,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
924,Mycobacterium~phage~EvilGenius,Unassigned,Unassigned,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
925,Mycobacterium~phage~First,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
926,Mycobacterium~phage~Fishburne,Caudovirales,Siphoviridae,Fishburnevirus,22_0,Clustered,7,VC_22_0,7,0.5058,1.0,0.5058,4,2,2,1.0
927,Mycobacterium~phage~FlagStaff,Caudovirales,Siphoviridae,Unassigned,49_0,Clustered,9,VC_49_0,9,0.5315,1.0,0.5315,2,2,2,1.0
928,Mycobacterium~phage~Florinda,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
929,Mycobacterium~phage~Fredward,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,9,VC_1_0,9,0.25,1.0,0.25,1,1,1,0.75
930,Mycobacterium~phage~Gadjet,Caudovirales,Siphoviridae,Pipefishvirus,37_0,Clustered,6,VC_37_0,6,0.2148,1.0,0.2148,2,1,1,1.0
931,Mycobacterium~phage~Gardann,Unassigned,Unassigned,Unassigned,73_0,Clustered,9,VC_73_0,9,0.6713,1.0,0.6713,2,2,2,1.0
932,Mycobacterium~phage~Gengar,Unassigned,Unassigned,Unassigned,63_1,Clustered,5,VC_63_1,5,0.2368,0.99999994,0.2368,2,2,2,1.0
933,Mycobacterium~phage~Gizmo,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
934,Mycobacterium~phage~Goku,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
935,Mycobacterium~phage~Gompeii16,Unassigned,Unassigned,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
936,Mycobacterium~phage~Graduation,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
937,Mycobacterium~phage~Gumball,Caudovirales,Siphoviridae,Unassigned,182_0,Clustered,5,VC_182_0,5,0.5438,0.99999992,0.5438,4,1,1,1.0
938,Mycobacterium~phage~HINdeR,Caudovirales,Siphoviridae,Unassigned,1_2,Clustered,12,VC_1_2,12,0.2517,1.0,0.2517,2,1,1,1.0
939,Mycobacterium~phage~Hades,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
940,Mycobacterium~phage~Hamulus,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
941,Mycobacterium~phage~HanShotFirst,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
942,Mycobacterium~phage~Hawkeye,Caudovirales,Siphoviridae,Hawkeyevirus,182_0,Clustered,5,VC_182_0,5,0.5438,0.99999992,0.5438,4,1,1,1.0
943,Mycobacterium~phage~Hosp,Caudovirales,Siphoviridae,Unassigned,60_1,Clustered,4,VC_60_1,4,0.0983,0.99998359,0.0983,1,1,1,1.0
944,Mycobacterium~phage~HufflyPuff,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
945,Mycobacterium~phage~HyRo,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
946,Mycobacterium~phage~Inventum,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
947,Mycobacterium~phage~Iracema64,Caudovirales,Siphoviridae,Unassigned,1_2,Clustered,12,VC_1_2,12,0.2517,1.0,0.2517,2,1,1,1.0
948,Mycobacterium~phage~JAMaL,Caudovirales,Siphoviridae,Coopervirus,60_2,Clustered,11,VC_60_2,11,0.2424,1.0,0.2424,3,1,1,1.0
949,Mycobacterium~phage~JacAttac,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
950,Mycobacterium~phage~Job42,Caudovirales,Siphoviridae,Unassigned,16_0,Clustered,5,VC_16_0,5,0.0589,0.99998427,0.0589,2,1,1,0.7
951,Mycobacterium~phage~Jobu08,Caudovirales,Siphoviridae,Unassigned,1_1,Clustered,7,VC_1_1,7,0.1683,1.0,0.1683,2,1,1,1.0
952,Mycobacterium~phage~Jolie1,Caudovirales,Siphoviridae,Unassigned,60_1,Clustered,4,VC_60_1,4,0.0983,0.99998359,0.0983,1,1,1,1.0
953,Mycobacterium~phage~Jolie2,Caudovirales,Siphoviridae,Unassigned,49_0,Clustered,9,VC_49_0,9,0.5315,1.0,0.5315,2,2,2,1.0
954,Mycobacterium~phage~Jovo,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,9,VC_1_0,9,0.25,1.0,0.25,1,1,1,0.75
955,Mycobacterium~phage~Kampy,Caudovirales,Siphoviridae,Unassigned,1_2,Clustered,12,VC_1_2,12,0.2517,1.0,0.2517,2,1,1,1.0
956,Mycobacterium~phage~KayaCho,Caudovirales,Siphoviridae,Unassigned,60_1,Clustered,4,VC_60_1,4,0.0983,0.99998359,0.0983,1,1,1,1.0
957,Mycobacterium~phage~Keshu,Caudovirales,Siphoviridae,Unassigned,63_2,Clustered,12,VC_63_2,12,0.5044,1.0,0.5044,2,1,1,0.803
958,Mycobacterium~phage~Kikipoo,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
959,Mycobacterium~phage~Kimberlium,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
960,Mycobacterium~phage~Konstantine,Caudovirales,Siphoviridae,Barnyardvirus,205_0,Clustered,4,VC_205_0,4,0.4596,0.99997218,0.4596,2,1,1,1.0
961,Mycobacterium~phage~Kratio,Caudovirales,Siphoviridae,Unassigned,63_1,Clustered,5,VC_63_1,5,0.2368,0.99999994,0.2368,2,2,2,1.0
962,Mycobacterium~phage~LadyBird,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
963,Mycobacterium~phage~Lamina13,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
964,Mycobacterium~phage~Larenn,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
965,Mycobacterium~phage~Leo,Caudovirales,Siphoviridae,Unassigned,49_0,Clustered,9,VC_49_0,9,0.5315,1.0,0.5315,2,2,2,1.0
966,Mycobacterium~phage~Lilac,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
967,Mycobacterium~phage~LinStu,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
968,Mycobacterium~phage~LittleCherry,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,9,VC_1_0,9,0.25,1.0,0.25,1,1,1,0.75
969,Mycobacterium~phage~Llama,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
970,Mycobacterium~phage~Lolly9,Caudovirales,Siphoviridae,Unassigned,73_0,Clustered,9,VC_73_0,9,0.6713,1.0,0.6713,2,2,2,1.0
971,Mycobacterium~phage~Loser,Unassigned,Unassigned,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
972,Mycobacterium~phage~Luchador,Caudovirales,Siphoviridae,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
973,Mycobacterium~phage~MOOREtheMARYer,Caudovirales,Siphoviridae,Unassigned,49_0,Clustered,9,VC_49_0,9,0.5315,1.0,0.5315,2,2,2,1.0
974,Mycobacterium~phage~Makemake,Unassigned,Unassigned,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
975,Mycobacterium~phage~Malithi,Caudovirales,Siphoviridae,Fishburnevirus,22_0,Clustered,7,VC_22_0,7,0.5058,1.0,0.5058,4,2,2,1.0
976,Mycobacterium~phage~Manad,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
977,Mycobacterium~phage~MarQuardt,Caudovirales,Siphoviridae,Unassigned,1_1,Clustered,7,VC_1_1,7,0.1683,1.0,0.1683,2,1,1,1.0
978,Mycobacterium~phage~MiaZeal,Caudovirales,Siphoviridae,Unassigned,0_0,Clustered,3,VC_0_0,3,0.1104,0.9978256,0.1102,2,1,1,1.0
979,Mycobacterium~phage~MichelleMyBell,Caudovirales,Siphoviridae,Buttersvirus,32_0,Clustered,8,VC_32_0,8,0.3805,1.0,0.3805,4,1,1,1.0
980,Mycobacterium~phage~Milly,Caudovirales,Siphoviridae,Unassigned,63_2,Clustered,12,VC_63_2,12,0.5044,1.0,0.5044,2,1,1,0.803
981,Mycobacterium~phage~Mindy,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
982,Mycobacterium~phage~Minerva,Caudovirales,Siphoviridae,Unassigned,0_1,Clustered,2,VC_0_1,2,0.0517,0.94494456,0.0488,1,1,1,1.0
983,Mycobacterium~phage~MoMoMixon,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
984,Mycobacterium~phage~Muddy,Caudovirales,Siphoviridae,Ff47virus,83_0,Clustered,2,VC_83_0,2,0.2261,0.95465106,0.2159,1,1,1,1.0
985,Mycobacterium~phage~Mufasa,Caudovirales,Siphoviridae,Unassigned,63_2,Clustered,12,VC_63_2,12,0.5044,1.0,0.5044,2,1,1,0.803
986,Mycobacterium~phage~Mulciber,Unassigned,Unassigned,Unassigned,18_2,Clustered,28,VC_18_2,28,0.48,1.0,0.48,2,2,2,0.9339
987,Mycobacterium~phage~Murphy,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
988,Mycobacterium~phage~Murucutumbu,Caudovirales,Siphoviridae,Unassigned,63_2,Clustered,12,VC_63_2,12,0.5044,1.0,0.5044,2,1,1,0.803
989,Mycobacterium~phage~Nala,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
990,Mycobacterium~phage~Nappy,Caudovirales,Myoviridae,Bxz1virus,218_0,Clustered,19,VC_218_0,19,0.8968,1.0,0.8968,2,2,2,1.0
991,Mycobacterium~phage~NelitzaMV,Caudovirales,Siphoviridae,Unassigned,61_0,Clustered,21,VC_61_0,21,0.8987,1.0,0.8987,2,1,1,1.0
992,Mycobacterium~phage~Nerujay,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
993,Mycobacterium~phage~Newman,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
994,Mycobacterium~phage~Nhonho,Caudovirales,Siphoviridae,Unassigned,2_0,Clustered,46,VC_2_0,46,0.9934,1.0,0.9934,2,2,2,1.0
995,Mycobacterium~phage~Nigel,Caudovirales,Siphoviridae,Coopervirus,60_2,Clustered,11,VC_60_2,11,0.2424,1.0,0.2424,3,1,1,1.0
996,Mycobacterium~phage~Nyxis,Caudovirales,Siphoviridae,Unassigned,1_2,Clustered,12,VC_1_2,12,0.2517,1.0,0.2517,2,1,1,1.0
997,Mycobacterium~phage~OSmaximus,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
998,Mycobacterium~phage~Oaker,Caudovirales,Siphoviridae,Unassigned,205_0,Clustered,4,VC_205_0,4,0.4596,0.99997218,0.4596,2,1,1,1.0
999,Mycobacterium~phage~Obama12,Caudovirales,Siphoviridae,Unassigned,1_2,Clustered,12,VC_1_2,12,0.2517,1.0,0.2517,2,1,1,1.0
1000,Mycobacterium~phage~OkiRoe,Caudovirales,Siphoviridae,Unassigned,63_1,Clustered,5,VC_63_1,5,0.2368,0.99999994,0.2368,2,2,2,1.0
1001,Mycobacterium~phage~Oline,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
1002,Mycobacterium~phage~Omnicron,Caudovirales,Siphoviridae,Unassigned,63_1,Clustered,5,VC_63_1,5,0.2368,0.99999994,0.2368,2,2,2,1.0
1003,Mycobacterium~phage~Orion,Caudovirales,Siphoviridae,Pg1virus,60_0,Clustered,20,VC_60_0,20,0.551,1.0,0.551,2,1,1,1.0
1004,Mycobacterium~phage~Ovechkin,Caudovirales,Siphoviridae,Unassigned,16_1,Clustered,35,VC_16_1,35,0.648,1.0,0.648,2,2,2,0.8101
